Food Name,Category,Calories (per 100g),Carbs (g),Protein (g),Fat (g),Serving Size (g),Meal Time,Dietary Suitability,Ingredients,Description
Milkshake,Beverage,251,48.4,15.6,16.8,200,Anytime,Diabetic Friendly,Ingredients Not Available,Milkshake is a popular dish served as beverage.
Mutton Curry,Side Dish,78,19.6,16.3,24.9,200,Morning,Immunity Boost,Ingredients Not Available,Mutton Curry is a popular dish served as side dish.
Pongal,Breakfast,101,29.4,8.4,7.7,100,Anytime,Balanced Diet,"Rice, Moong Dal, Ghee, Black Pepper, Cumin",Pongal is a popular dish served as breakfast.
Pumpkin Sambar,Side Dish,171,18.4,18.9,15.7,100,Evening,Diabetic Friendly,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Bhindi Fry,Side Dish,272,39.9,15.9,27.7,150,Morning,Immunity Boost,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Ghee Rice,Lunch,255,65.7,16.5,21.6,100,Anytime,Weight Gain,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Egg Curry,Side Dish,77,15.1,2.3,2.5,250,Anytime,Balanced Diet,Ingredients Not Available,Egg Curry is a popular dish served as side dish.
Kootu,Side Dish,289,11.8,16.3,11.1,100,Morning,Weight Gain,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Aloo Paratha,Breakfast,113,23.6,6.5,18.6,100,Evening,Diabetic Friendly,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Parotta,Dinner,101,18.5,13.9,10.5,250,Afternoon,Weight Loss,Ingredients Not Available,Parotta is a popular dish served as dinner.
Tomato Soup,Soup,287,39.3,16.1,9.8,200,Anytime,Immunity Boost,Ingredients Not Available,Tomato Soup is a popular dish served as soup.
Mint Chutney,Side Dish,304,36.6,17.2,3.8,250,Morning,Weight Gain,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Fish Fry,Side Dish,70,68.8,8.3,13.8,300,Evening,Weight Loss,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Ghee Rice,Lunch,329,65.8,3.2,28.9,250,Anytime,Balanced Diet,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Aloo Paratha,Breakfast,371,22.2,15.4,15.5,300,Morning,Balanced Diet,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Paneer Butter Masala,Side Dish,248,42.7,15.3,5.7,100,Afternoon,Weight Gain,Ingredients Not Available,Paneer Butter Masala is a popular dish served as side dish.
Dal Tadka,Side Dish,186,63.8,7.0,20.2,150,Morning,Weight Loss,Ingredients Not Available,Dal Tadka is a popular dish served as side dish.
Beans Stir Fry,Side Dish,85,15.1,12.1,4.5,200,Morning,Diabetic Friendly,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Payasam,Dessert,399,68.3,5.0,3.5,250,Afternoon,Balanced Diet,"Rice, Milk, Jaggery, Cardamom, Cashews",Payasam is a popular dish served as dessert.
Pesarattu,Breakfast,362,12.9,7.7,23.4,100,Morning,Weight Gain,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Idli,Breakfast,345,50.2,19.9,21.4,150,Evening,Weight Gain,"Rice, Urad Dal, Water, Salt",Idli is a popular dish served as breakfast.
Mutton Curry,Side Dish,162,28.2,16.3,11.0,150,Morning,Weight Gain,Ingredients Not Available,Mutton Curry is a popular dish served as side dish.
Vadai,Snack,107,44.5,7.8,4.3,250,Afternoon,Immunity Boost,"Urad Dal, Black Pepper, Curry Leaves, Salt",Vadai is a popular dish served as snack.
Fish Fry,Side Dish,78,25.1,18.6,8.7,100,Morning,Immunity Boost,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Aloo Paratha,Breakfast,233,55.0,2.6,7.3,200,Evening,Weight Loss,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Keerai Poriyal,Side Dish,262,32.8,17.9,26.9,150,Anytime,Balanced Diet,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Pesarattu,Breakfast,349,57.4,8.4,7.8,200,Morning,Diabetic Friendly,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Chicken 65,Snack,371,17.0,11.6,2.9,300,Evening,Weight Gain,Ingredients Not Available,Chicken 65 is a popular dish served as snack.
Bhindi Fry,Side Dish,224,50.9,6.6,6.2,100,Anytime,Diabetic Friendly,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Tamarind Rice,Lunch,246,26.1,13.7,14.4,100,Morning,Immunity Boost,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Vegetable Pulao,Lunch,323,68.9,6.7,12.0,100,Morning,Immunity Boost,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Filter Coffee,Beverage,139,23.0,11.1,28.3,150,Morning,Weight Loss,Ingredients Not Available,Filter Coffee is a popular dish served as beverage.
Vegetable Kurma,Side Dish,127,10.3,7.7,21.6,150,Evening,Balanced Diet,Ingredients Not Available,Vegetable Kurma is a popular dish served as side dish.
Dal Tadka,Side Dish,45,23.9,19.1,0.9,200,Afternoon,Weight Gain,Ingredients Not Available,Dal Tadka is a popular dish served as side dish.
Egg Curry,Side Dish,248,55.9,10.3,18.4,150,Evening,Balanced Diet,Ingredients Not Available,Egg Curry is a popular dish served as side dish.
Chicken 65,Snack,295,60.9,7.2,29.6,300,Evening,Weight Loss,Ingredients Not Available,Chicken 65 is a popular dish served as snack.
Kootu,Side Dish,165,53.6,6.0,11.6,250,Evening,Balanced Diet,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Pumpkin Sambar,Side Dish,304,36.9,2.5,17.7,100,Evening,Weight Gain,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Egg Curry,Side Dish,102,10.7,3.0,9.6,150,Anytime,Weight Loss,Ingredients Not Available,Egg Curry is a popular dish served as side dish.
Idli,Breakfast,58,29.3,8.7,27.5,150,Anytime,Immunity Boost,"Rice, Urad Dal, Water, Salt",Idli is a popular dish served as breakfast.
Kootu,Side Dish,213,27.0,3.7,20.7,150,Afternoon,Weight Gain,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Dal Tadka,Side Dish,105,47.0,14.3,19.5,200,Anytime,Diabetic Friendly,Ingredients Not Available,Dal Tadka is a popular dish served as side dish.
Dosa,Breakfast,277,36.7,13.7,8.1,300,Morning,Balanced Diet,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Coconut Chutney,Side Dish,358,11.2,15.1,4.7,200,Afternoon,Immunity Boost,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Vadai,Snack,190,47.4,6.4,26.8,250,Anytime,Balanced Diet,"Urad Dal, Black Pepper, Curry Leaves, Salt",Vadai is a popular dish served as snack.
Banana Chips,Snack,111,41.3,2.1,13.0,200,Evening,Immunity Boost,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Masala Tea,Beverage,51,33.9,5.2,29.9,100,Anytime,Diabetic Friendly,Ingredients Not Available,Masala Tea is a popular dish served as beverage.
Pesarattu,Breakfast,186,26.4,3.9,6.5,150,Morning,Weight Loss,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Egg Dosa,Breakfast,386,56.7,6.0,5.3,200,Evening,Balanced Diet,Ingredients Not Available,Egg Dosa is a popular dish served as breakfast.
Keerai Poriyal,Side Dish,216,65.4,7.8,25.2,100,Afternoon,Weight Gain,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Vegetable Salad,Snack,99,49.9,10.5,27.3,100,Morning,Weight Gain,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Kuzhambu,Side Dish,170,51.8,14.7,22.6,100,Afternoon,Diabetic Friendly,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Vegetable Salad,Snack,344,20.1,18.5,14.9,250,Anytime,Immunity Boost,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Keerai Poriyal,Side Dish,397,60.4,9.6,25.9,300,Morning,Immunity Boost,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Coconut Chutney,Side Dish,261,27.5,6.2,17.2,100,Evening,Immunity Boost,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Biryani,Lunch,157,57.8,6.2,10.6,200,Evening,Weight Loss,Ingredients Not Available,Biryani is a popular dish served as lunch.
Pongal,Breakfast,183,46.5,2.3,21.8,150,Evening,Diabetic Friendly,"Rice, Moong Dal, Ghee, Black Pepper, Cumin",Pongal is a popular dish served as breakfast.
Vegetable Sandwich,Snack,373,52.6,19.5,5.9,250,Morning,Balanced Diet,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Rasam,Soup,373,42.8,16.8,20.0,200,Morning,Immunity Boost,"Tamarind, Tomatoes, Spices, Coriander",Rasam is a popular dish served as soup.
Tamarind Rice,Lunch,357,67.7,12.6,25.1,300,Evening,Balanced Diet,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Dosa,Breakfast,99,35.0,6.3,16.4,250,Afternoon,Weight Loss,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Keerai Poriyal,Side Dish,397,42.3,3.7,29.4,150,Evening,Weight Loss,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Banana Chips,Snack,139,49.8,16.9,18.5,100,Evening,Diabetic Friendly,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Bhindi Fry,Side Dish,163,21.6,9.0,1.1,200,Evening,Balanced Diet,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Filter Coffee,Beverage,200,36.1,12.1,7.6,300,Afternoon,Weight Loss,Ingredients Not Available,Filter Coffee is a popular dish served as beverage.
Vegetable Kurma,Side Dish,156,11.6,6.7,25.5,300,Morning,Weight Loss,Ingredients Not Available,Vegetable Kurma is a popular dish served as side dish.
Banana Chips,Snack,157,18.6,11.8,18.7,200,Evening,Balanced Diet,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Curd Rice,Lunch,115,22.0,16.2,14.7,100,Afternoon,Weight Loss,Ingredients Not Available,Curd Rice is a popular dish served as lunch.
Fruits Bowl,Snack,119,44.8,14.2,8.0,200,Morning,Diabetic Friendly,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Upma,Breakfast,250,48.4,18.1,4.7,250,Anytime,Weight Loss,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Payasam,Dessert,170,46.1,15.0,17.0,150,Anytime,Diabetic Friendly,"Rice, Milk, Jaggery, Cardamom, Cashews",Payasam is a popular dish served as dessert.
Coconut Chutney,Side Dish,117,54.6,16.8,7.3,100,Anytime,Diabetic Friendly,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Mint Chutney,Side Dish,315,48.4,11.9,9.6,150,Afternoon,Weight Gain,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Rasam,Soup,42,17.7,3.3,19.1,100,Afternoon,Weight Loss,"Tamarind, Tomatoes, Spices, Coriander",Rasam is a popular dish served as soup.
Coconut Chutney,Side Dish,182,10.2,10.2,24.8,250,Anytime,Immunity Boost,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Beans Stir Fry,Side Dish,103,34.0,11.3,14.8,200,Evening,Weight Loss,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Carrot Halwa,Dessert,174,11.9,5.5,28.7,250,Afternoon,Weight Loss,Ingredients Not Available,Carrot Halwa is a popular dish served as dessert.
Kootu,Side Dish,158,61.4,6.3,1.9,100,Afternoon,Weight Gain,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Upma,Breakfast,59,13.2,14.2,17.5,200,Morning,Diabetic Friendly,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Bhindi Fry,Side Dish,233,57.5,18.1,25.3,250,Anytime,Immunity Boost,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Vegetable Kurma,Side Dish,171,52.1,9.0,27.6,100,Anytime,Immunity Boost,Ingredients Not Available,Vegetable Kurma is a popular dish served as side dish.
Mutton Curry,Side Dish,191,14.7,11.0,3.5,200,Evening,Immunity Boost,Ingredients Not Available,Mutton Curry is a popular dish served as side dish.
Vegetable Kurma,Side Dish,153,62.0,11.6,8.7,300,Morning,Balanced Diet,Ingredients Not Available,Vegetable Kurma is a popular dish served as side dish.
Keerai Poriyal,Side Dish,81,32.2,14.6,29.3,250,Afternoon,Balanced Diet,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Dosa,Breakfast,166,33.5,11.5,19.7,150,Morning,Diabetic Friendly,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Payasam,Dessert,136,34.2,14.8,6.2,300,Morning,Weight Loss,"Rice, Milk, Jaggery, Cardamom, Cashews",Payasam is a popular dish served as dessert.
Curd Rice,Lunch,212,52.0,16.0,7.7,100,Anytime,Diabetic Friendly,Ingredients Not Available,Curd Rice is a popular dish served as lunch.
Keerai Poriyal,Side Dish,81,49.6,10.7,25.9,250,Anytime,Weight Loss,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Beans Stir Fry,Side Dish,286,51.5,14.0,28.1,250,Anytime,Weight Gain,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Fruits Bowl,Snack,199,12.8,10.1,22.4,300,Evening,Diabetic Friendly,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Paneer Butter Masala,Side Dish,253,18.5,7.2,26.5,150,Anytime,Weight Loss,Ingredients Not Available,Paneer Butter Masala is a popular dish served as side dish.
Dosa,Breakfast,74,48.8,9.8,12.7,100,Morning,Weight Gain,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Kuzhambu,Side Dish,58,42.6,7.3,6.6,150,Morning,Diabetic Friendly,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Upma,Breakfast,201,20.6,18.4,13.4,150,Evening,Diabetic Friendly,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Vegetable Sandwich,Snack,200,15.0,8.8,21.5,100,Evening,Balanced Diet,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Aloo Paratha,Breakfast,168,30.7,7.7,28.2,300,Evening,Weight Gain,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Payasam,Dessert,153,23.7,2.1,12.4,100,Evening,Weight Gain,"Rice, Milk, Jaggery, Cardamom, Cashews",Payasam is a popular dish served as dessert.
Lemon Rice,Lunch,188,28.1,9.3,8.2,100,Anytime,Weight Gain,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Dosa,Breakfast,164,53.8,9.9,2.9,200,Anytime,Weight Gain,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Biryani,Lunch,59,61.9,5.8,17.1,200,Evening,Weight Gain,Ingredients Not Available,Biryani is a popular dish served as lunch.
Curd Rice,Lunch,396,10.8,2.6,17.3,250,Anytime,Weight Gain,Ingredients Not Available,Curd Rice is a popular dish served as lunch.
Lemon Rice,Lunch,99,21.3,12.5,21.2,300,Afternoon,Immunity Boost,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Carrot Halwa,Dessert,327,14.1,14.6,13.8,200,Morning,Weight Loss,Ingredients Not Available,Carrot Halwa is a popular dish served as dessert.
Aloo Paratha,Breakfast,301,32.7,16.2,4.4,300,Evening,Immunity Boost,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Vegetable Sandwich,Snack,394,19.9,10.8,13.9,150,Evening,Weight Loss,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Idli,Breakfast,273,30.9,18.6,17.5,300,Afternoon,Weight Loss,"Rice, Urad Dal, Water, Salt",Idli is a popular dish served as breakfast.
Vegetable Kurma,Side Dish,253,20.3,5.1,2.1,100,Anytime,Balanced Diet,Ingredients Not Available,Vegetable Kurma is a popular dish served as side dish.
Mint Chutney,Side Dish,143,29.7,18.2,29.0,300,Anytime,Weight Loss,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Filter Coffee,Beverage,99,39.8,8.9,23.5,200,Afternoon,Balanced Diet,Ingredients Not Available,Filter Coffee is a popular dish served as beverage.
Idiyappam,Breakfast,336,65.3,14.5,24.5,150,Anytime,Immunity Boost,Ingredients Not Available,Idiyappam is a popular dish served as breakfast.
Ghee Rice,Lunch,183,32.2,14.6,14.8,300,Anytime,Weight Gain,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Filter Coffee,Beverage,219,43.3,7.8,4.3,150,Afternoon,Weight Gain,Ingredients Not Available,Filter Coffee is a popular dish served as beverage.
Filter Coffee,Beverage,347,60.1,8.3,22.1,100,Morning,Balanced Diet,Ingredients Not Available,Filter Coffee is a popular dish served as beverage.
Fruits Bowl,Snack,205,20.7,9.6,7.1,200,Evening,Weight Loss,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Paneer Butter Masala,Side Dish,158,69.3,7.4,8.3,150,Anytime,Weight Loss,Ingredients Not Available,Paneer Butter Masala is a popular dish served as side dish.
Masala Tea,Beverage,360,13.2,9.6,15.5,300,Afternoon,Balanced Diet,Ingredients Not Available,Masala Tea is a popular dish served as beverage.
Ragi Mudde,Lunch,168,49.1,10.4,1.5,100,Afternoon,Immunity Boost,Ingredients Not Available,Ragi Mudde is a popular dish served as lunch.
Masala Tea,Beverage,324,10.1,17.4,19.9,100,Anytime,Diabetic Friendly,Ingredients Not Available,Masala Tea is a popular dish served as beverage.
Ghee Rice,Lunch,229,56.2,17.6,28.8,200,Afternoon,Balanced Diet,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Kootu,Side Dish,267,52.7,19.7,12.3,300,Morning,Diabetic Friendly,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Aloo Paratha,Breakfast,400,39.5,14.0,20.0,200,Afternoon,Balanced Diet,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Fish Fry,Side Dish,313,53.8,5.7,24.2,200,Afternoon,Weight Loss,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Egg Dosa,Breakfast,317,42.6,9.1,26.6,300,Morning,Weight Gain,Ingredients Not Available,Egg Dosa is a popular dish served as breakfast.
Mint Chutney,Side Dish,380,47.5,12.4,16.5,250,Afternoon,Weight Gain,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Egg Dosa,Breakfast,110,29.6,15.7,2.9,250,Morning,Weight Gain,Ingredients Not Available,Egg Dosa is a popular dish served as breakfast.
Pumpkin Sambar,Side Dish,344,31.6,14.0,15.1,200,Afternoon,Immunity Boost,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Mutton Curry,Side Dish,138,45.0,18.6,29.9,200,Anytime,Balanced Diet,Ingredients Not Available,Mutton Curry is a popular dish served as side dish.
Ragi Mudde,Lunch,296,53.3,5.7,20.9,200,Evening,Immunity Boost,Ingredients Not Available,Ragi Mudde is a popular dish served as lunch.
Mutton Curry,Side Dish,159,52.1,10.0,10.4,300,Afternoon,Weight Loss,Ingredients Not Available,Mutton Curry is a popular dish served as side dish.
Egg Dosa,Breakfast,329,53.5,19.8,23.2,200,Afternoon,Weight Gain,Ingredients Not Available,Egg Dosa is a popular dish served as breakfast.
Sambar,Side Dish,311,51.2,2.4,5.2,300,Afternoon,Weight Loss,"Toor Dal, Tamarind, Vegetables, Spices",Sambar is a popular dish served as side dish.
Parotta,Dinner,77,66.7,2.9,10.7,250,Morning,Balanced Diet,Ingredients Not Available,Parotta is a popular dish served as dinner.
Bhindi Fry,Side Dish,349,43.0,10.0,3.2,150,Morning,Balanced Diet,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Dosa,Breakfast,257,55.1,10.1,28.1,100,Anytime,Weight Gain,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Chicken Curry,Side Dish,109,15.9,7.8,29.3,300,Morning,Immunity Boost,Ingredients Not Available,Chicken Curry is a popular dish served as side dish.
Chapati,Lunch,230,42.5,16.6,0.7,300,Evening,Diabetic Friendly,Ingredients Not Available,Chapati is a popular dish served as lunch.
Bhindi Fry,Side Dish,311,41.8,10.1,24.7,200,Evening,Weight Loss,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Mutton Curry,Side Dish,204,54.6,18.4,6.9,100,Afternoon,Diabetic Friendly,Ingredients Not Available,Mutton Curry is a popular dish served as side dish.
Kootu,Side Dish,315,52.3,14.7,29.9,150,Anytime,Weight Gain,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Lemon Rice,Lunch,127,42.0,16.3,4.8,100,Afternoon,Immunity Boost,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Egg Curry,Side Dish,41,23.9,7.2,10.8,150,Afternoon,Immunity Boost,Ingredients Not Available,Egg Curry is a popular dish served as side dish.
Mint Chutney,Side Dish,345,11.3,13.1,27.9,250,Anytime,Immunity Boost,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Pumpkin Sambar,Side Dish,79,50.4,15.8,18.0,100,Evening,Weight Gain,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Vegetable Pulao,Lunch,260,65.4,14.6,21.3,150,Anytime,Balanced Diet,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Bhindi Fry,Side Dish,197,18.0,16.3,18.2,250,Anytime,Immunity Boost,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Fruits Bowl,Snack,357,25.3,14.1,17.7,100,Evening,Weight Gain,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Idli,Breakfast,367,39.6,7.5,15.5,200,Evening,Immunity Boost,"Rice, Urad Dal, Water, Salt",Idli is a popular dish served as breakfast.
Biryani,Lunch,249,12.3,3.1,15.5,100,Afternoon,Immunity Boost,Ingredients Not Available,Biryani is a popular dish served as lunch.
Sambar,Side Dish,85,44.0,19.8,15.2,300,Evening,Diabetic Friendly,"Toor Dal, Tamarind, Vegetables, Spices",Sambar is a popular dish served as side dish.
Parotta,Dinner,192,69.2,7.9,7.7,200,Afternoon,Weight Gain,Ingredients Not Available,Parotta is a popular dish served as dinner.
Pesarattu,Breakfast,394,11.7,9.7,26.8,100,Afternoon,Weight Gain,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Ragi Mudde,Lunch,116,35.0,6.5,11.1,250,Morning,Weight Gain,Ingredients Not Available,Ragi Mudde is a popular dish served as lunch.
Banana Chips,Snack,63,42.2,10.9,27.1,250,Morning,Balanced Diet,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Kuzhambu,Side Dish,254,61.4,5.3,18.2,100,Afternoon,Weight Loss,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Fish Fry,Side Dish,182,11.2,11.5,28.1,200,Morning,Weight Gain,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Thengai Sevai,Lunch,300,26.4,20.0,13.8,200,Afternoon,Diabetic Friendly,Ingredients Not Available,Thengai Sevai is a popular dish served as lunch.
Fruits Bowl,Snack,62,23.2,18.9,9.6,250,Afternoon,Weight Gain,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
